Faculty,Partner University,PU Module 1,PU Module 1 Title,PU Mod1 Credits,PU Module 2,PU Module 2 Title,PU Mod2 Credits,NUS Module 1,NUS Module 1 Title,NUS Mod1 Credits,NUS Module 2,NUS Module 2 Title,NUS Mod2 Credits,Pre Approved?
School of Computing,Aalto University,C3130,Information Security,5,-1,-1,-1,CS2107,Introduction to Information Se,4,-1,-1,-1,-1
School of Computing,Aalto University,C3150,Software Engineering,5,-1,-1,-1,CS2103,Software Engineering,4,-1,-1,-1,-1
School of Computing,Aalto University,CS-C3130,Information Security,5,-1,-1,-1,CS2107,Introduction to Information Se,4,-1,-1,-1,N
School of Computing,Aalto University,CS--E4300,Network Security,5,-1,-1,-1,CS2107,Introduction to Information Se,4,-1,-1,-1,N
School of Computing,Aalto University,CS--E4320,Cryptography and Data Security,5,-1,-1,-1,CS2107,Introduction to Information Se,4,-1,-1,-1,N
School of Computing,Aalto University,ELEC-E7120,Wireless Systems,5,-1,-1,-1,CS4222,Wireless Networking,4,-1,-1,-1,N
School of Computing,Aarhus University,113109,Business Intelligence from Web Data Analytics and Data Mining,10,-1,-1,-1,BT4222,Mining Web Data for Business I,4,-1,-1,-1,-1
School of Computing,Aarhus University,220164U003,IT Security and Cryptography in Practice,5,-1,-1,-1,CS3235,Computer Security,4,-1,-1,-1,N
School of Computing,Aarhus University,220171U002,Foundations of Algorithms and Data Structures,5,-1,-1,-1,CS3230,Design & Analysis of Algorithm,4,-1,-1,-1,N
School of Computing,Aarhus University,220171U007,Machine Learning,10,-1,-1,-1,CS3244,Machine Learning,4,-1,-1,-1,N
School of Computing,Aarhus University,220171U008,Optimization,10,-1,-1,-1,CS4234,Optimisation Algorithms,4,-1,-1,-1,-1
School of Computing,Aarhus University,220171U034,Introduction to Human-Computer Interaction,10,-1,-1,-1,CS3240,Interaction Design,4,-1,-1,-1,N
School of Computing,Aarhus University,220172U006,Cryptology,10,-1,-1,-1,CS4236,Cryptography Theory & Practice,4,-1,-1,-1,N
School of Computing,Aarhus University,220172U017,Multimodal Interaction,10,-1,-1,-1,CS3240,Interaction Design,4,-1,-1,-1,N
School of Computing,Aarhus University,240172U082,Advanced Wireless Communication,5,-1,-1,-1,CS4222,Wireless Networking,4,-1,-1,-1,N
School of Computing,Aarhus University,460161U036,Global Management,5,-1,-1,-1,IS3103,Information Systems Leadership,4,-1,-1,-1,-1
School of Computing,Aarhus University,460172U004,Managing Teams,5,-1,-1,-1,IS3103,Information Systems Leadership,4,-1,-1,-1,-1
